"","tool","project","target_class","isAssertion","coverage_rate"
"1","BBC-F0-10","Chart-10","org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator",0,0
"2","BBC-F0-10","Chart-2","org.jfree.data.general.DatasetUtilities",0,30
"3","BBC-F0-10","Chart-4","org.jfree.chart.plot.XYPlot",0,18
"4","BBC-F0-10","Chart-5","org.jfree.data.xy.XYSeries",0,0
"5","BBC-F0-10","Chart-9","org.jfree.data.time.TimeSeries",0,0
"6","BBC-F0-10","Cli-31","org.apache.commons.cli.HelpFormatter",0,0
"7","BBC-F0-10","Cli-31","org.apache.commons.cli.Option",0,0
"8","BBC-F0-10","Cli-31","org.apache.commons.cli.OptionBuilder",0,0
"9","BBC-F0-10","Cli-32","org.apache.commons.cli.HelpFormatter",0,27
"10","BBC-F0-10","Cli-33","org.apache.commons.cli.HelpFormatter",0,0
"11","BBC-F0-10","Cli-35","org.apache.commons.cli.Options",0,0
"12","BBC-F0-10","Closure-108","com.google.javascript.jscomp.ScopedAliases",0,0
"13","BBC-F0-10","Codec-10","org.apache.commons.codec.language.Caverphone",0,0
"14","BBC-F0-10","Codec-11","org.apache.commons.codec.net.QuotedPrintableCodec",0,30
"15","BBC-F0-10","Codec-13","org.apache.commons.codec.binary.StringUtils",0,0
"16","BBC-F0-10","Codec-13","org.apache.commons.codec.language.DoubleMetaphone",0,22
"17","BBC-F0-10","Codec-16","org.apache.commons.codec.binary.Base32",0,0
"18","BBC-F0-10","Codec-17","org.apache.commons.codec.binary.StringUtils",0,30
"19","BBC-F0-10","Codec-18","org.apache.commons.codec.binary.StringUtils",0,0
"20","BBC-F0-10","Codec-9","org.apache.commons.codec.binary.Base64",0,0
"21","BBC-F0-10","Collections-25","org.apache.commons.collections4.IteratorUtils",0,0
"22","BBC-F0-10","Collections-28","org.apache.commons.collections4.trie.AbstractPatriciaTrie",0,0
"23","BBC-F0-10","Compress-38","org.apache.commons.compress.archivers.tar.TarArchiveEntry",0,0
"24","BBC-F0-10","Compress-45","org.apache.commons.compress.archivers.tar.TarUtils",0,0
"25","BBC-F0-10","Csv-11","org.apache.commons.csv.CSVParser",0,30
"26","BBC-F0-10","Csv-12","org.apache.commons.csv.CSVFormat",0,0
"27","BBC-F0-10","Csv-8","org.apache.commons.csv.CSVFormat",0,0
"28","BBC-F0-10","Csv-9","org.apache.commons.csv.CSVRecord",0,26
"29","BBC-F0-10","Gson-10","com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0,0
"30","BBC-F0-10","Gson-11","com.google.gson.internal.bind.TypeAdapters",0,0
"31","BBC-F0-10","Gson-12","com.google.gson.internal.bind.JsonTreeReader",0,30
"32","BBC-F0-10","Gson-13","com.google.gson.stream.JsonReader",0,0
"33","BBC-F0-10","Gson-14","com.google.gson.internal.$Gson$Types",0,0
"34","BBC-F0-10","Gson-15","com.google.gson.stream.JsonWriter",0,0
"35","BBC-F0-10","Gson-16","com.google.gson.internal.$Gson$Types",0,0
"36","BBC-F0-10","Gson-17","com.google.gson.DefaultDateTypeAdapter",0,29
"37","BBC-F0-10","Gson-18","com.google.gson.internal.$Gson$Types",0,0
"38","BBC-F0-10","Gson-9","com.google.gson.internal.bind.JsonTreeWriter",0,0
"39","BBC-F0-10","Gson-9","com.google.gson.internal.bind.TypeAdapters",0,28
"40","BBC-F0-10","Gson-9","com.google.gson.stream.JsonWriter",0,30
"41","BBC-F0-10","JacksonCore-17","com.fasterxml.jackson.core.json.UTF8JsonGenerator",0,0
"42","BBC-F0-10","JacksonCore-19","com.fasterxml.jackson.core.json.ReaderBasedJsonParser",0,0
"43","BBC-F0-10","JacksonCore-19","com.fasterxml.jackson.core.json.UTF8StreamJsonParser",0,0
"44","BBC-F0-10","JacksonCore-20","com.fasterxml.jackson.core.JsonGenerator",0,30
"45","BBC-F0-10","JacksonCore-21","com.fasterxml.jackson.core.filter.FilteringParserDelegate",0,0
"46","BBC-F0-10","JacksonCore-22","com.fasterxml.jackson.core.filter.FilteringParserDelegate",0,0
"47","BBC-F0-10","JacksonCore-24","com.fasterxml.jackson.core.base.ParserBase",0,0
"48","BBC-F0-10","JacksonCore-24","com.fasterxml.jackson.core.base.ParserMinimalBase",0,0
"49","BBC-F0-10","JacksonCore-25","com.fasterxml.jackson.core.json.ReaderBasedJsonParser",0,0
"50","BBC-F0-10","JacksonDatabind-104","com.fasterxml.jackson.databind.util.StdDateFormat",0,0
"51","BBC-F0-10","JacksonDatabind-105","com.fasterxml.jackson.databind.deser.std.JdkDeserializers",0,0
"52","BBC-F0-10","JacksonDatabind-107","com.fasterxml.jackson.databind.jsontype.impl.TypeDeserializerBase",0,0
"53","BBC-F0-10","JacksonDatabind-109","com.fasterxml.jackson.databind.ser.std.NumberSerializer",0,0
"54","BBC-F0-10","JacksonDatabind-109","com.fasterxml.jackson.databind.ser.std.NumberSerializers",0,0
"55","BBC-F0-10","JacksonDatabind-110","com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers",0,0
"56","BBC-F0-10","JacksonDatabind-112","com.fasterxml.jackson.databind.deser.std.StringCollectionDeserializer",0,0
"57","BBC-F0-10","JacksonXml-3","com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser",0,0
"58","BBC-F0-10","JacksonXml-4","com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider",0,0
"59","BBC-F0-10","JacksonXml-6","com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator",0,0
"60","BBC-F0-10","Jsoup-84","org.jsoup.helper.W3CDom",0,16
"61","BBC-F0-10","Jsoup-86","org.jsoup.nodes.Comment",0,0
"62","BBC-F0-10","Jsoup-89","org.jsoup.nodes.Attribute",0,30
"63","BBC-F0-10","Jsoup-90","org.jsoup.helper.HttpConnection",0,0
"64","BBC-F0-10","JxPath-13","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"65","BBC-F0-10","JxPath-13","org.apache.commons.jxpath.ri.NamespaceResolver",0,0
"66","BBC-F0-10","JxPath-16","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"67","BBC-F0-10","JxPath-16","org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer",0,0
"68","BBC-F0-10","JxPath-22","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"69","BBC-F0-10","Lang-1","org.apache.commons.lang3.math.NumberUtils",0,0
"70","BBC-F0-10","Lang-5","org.apache.commons.lang3.LocaleUtils",0,0
"71","BBC-F0-10","Lang-6","org.apache.commons.lang3.text.translate.CharSequenceTranslator",0,0
"72","BBC-F0-10","Math-1","org.apache.commons.math3.fraction.BigFraction",0,29
"73","BBC-F0-10","Math-1","org.apache.commons.math3.fraction.Fraction",0,30
"74","BBC-F0-10","Math-3","org.apache.commons.math3.util.MathArrays",0,11
"75","BBC-F0-10","Math-4","org.apache.commons.math3.geometry.euclidean.threed.SubLine",0,24
"76","BBC-F0-10","Math-4","org.apache.commons.math3.geometry.euclidean.twod.SubLine",0,26
"77","BBC-F0-10","Math-8","org.apache.commons.math3.distribution.DiscreteDistribution",0,15
"78","BBC-F0-10","Mockito-1","org.mockito.internal.invocation.InvocationMatcher",0,0
"79","BBC-F0-10","Mockito-18","org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues",0,30
"80","BBC-F0-10","Mockito-20","org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker",0,0
"81","BBC-F0-10","Mockito-3","org.mockito.internal.invocation.InvocationMatcher",0,0
"82","BBC-F0-10","Mockito-4","org.mockito.exceptions.Reporter",0,0
"83","BBC-F0-10","Mockito-6","org.mockito.Matchers",0,0
"84","BBC-F0-10","Mockito-7","org.mockito.internal.util.reflection.GenericMetadataSupport",0,0
"85","BBC-F0-10","Time-10","org.joda.time.base.BaseSingleFieldPeriod",0,2
"86","BBC-F0-10","Time-2","org.joda.time.field.UnsupportedDurationField",0,0
"87","BBC-F0-10","Time-2","org.joda.time.Partial",0,0
"88","BBC-F0-10","Time-3","org.joda.time.MutableDateTime",0,0
"89","BBC-F0-10","Time-5","org.joda.time.Period",0,30
"90","BBC-F0-10","Time-6","org.joda.time.chrono.GJChronology",0,17
"91","BBC-F0-10","Time-7","org.joda.time.format.DateTimeFormatter",0,1
"92","BBC-F0-10","Time-8","org.joda.time.DateTimeZone",0,0
"93","BBC-F0-100","Chart-10","org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator",0,0
"94","BBC-F0-100","Chart-2","org.jfree.data.general.DatasetUtilities",0,30
"95","BBC-F0-100","Chart-4","org.jfree.chart.plot.XYPlot",0,22
"96","BBC-F0-100","Chart-5","org.jfree.data.xy.XYSeries",0,0
"97","BBC-F0-100","Chart-9","org.jfree.data.time.TimeSeries",0,0
"98","BBC-F0-100","Cli-31","org.apache.commons.cli.HelpFormatter",0,0
"99","BBC-F0-100","Cli-31","org.apache.commons.cli.Option",0,0
"100","BBC-F0-100","Cli-31","org.apache.commons.cli.OptionBuilder",0,0
"101","BBC-F0-100","Cli-32","org.apache.commons.cli.HelpFormatter",0,25
"102","BBC-F0-100","Cli-33","org.apache.commons.cli.HelpFormatter",0,0
"103","BBC-F0-100","Cli-35","org.apache.commons.cli.Options",0,0
"104","BBC-F0-100","Closure-108","com.google.javascript.jscomp.ScopedAliases",0,0
"105","BBC-F0-100","Codec-10","org.apache.commons.codec.language.Caverphone",0,0
"106","BBC-F0-100","Codec-11","org.apache.commons.codec.net.QuotedPrintableCodec",0,30
"107","BBC-F0-100","Codec-13","org.apache.commons.codec.binary.StringUtils",0,0
"108","BBC-F0-100","Codec-13","org.apache.commons.codec.language.DoubleMetaphone",0,30
"109","BBC-F0-100","Codec-16","org.apache.commons.codec.binary.Base32",0,0
"110","BBC-F0-100","Codec-17","org.apache.commons.codec.binary.StringUtils",0,30
"111","BBC-F0-100","Codec-18","org.apache.commons.codec.binary.StringUtils",0,0
"112","BBC-F0-100","Codec-9","org.apache.commons.codec.binary.Base64",0,0
"113","BBC-F0-100","Collections-25","org.apache.commons.collections4.IteratorUtils",0,0
"114","BBC-F0-100","Collections-28","org.apache.commons.collections4.trie.AbstractPatriciaTrie",0,0
"115","BBC-F0-100","Compress-38","org.apache.commons.compress.archivers.tar.TarArchiveEntry",0,0
"116","BBC-F0-100","Compress-45","org.apache.commons.compress.archivers.tar.TarUtils",0,0
"117","BBC-F0-100","Csv-11","org.apache.commons.csv.CSVParser",0,30
"118","BBC-F0-100","Csv-12","org.apache.commons.csv.CSVFormat",0,0
"119","BBC-F0-100","Csv-8","org.apache.commons.csv.CSVFormat",0,0
"120","BBC-F0-100","Csv-9","org.apache.commons.csv.CSVRecord",0,22
"121","BBC-F0-100","Gson-10","com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0,0
"122","BBC-F0-100","Gson-11","com.google.gson.internal.bind.TypeAdapters",0,0
"123","BBC-F0-100","Gson-12","com.google.gson.internal.bind.JsonTreeReader",0,29
"124","BBC-F0-100","Gson-13","com.google.gson.stream.JsonReader",0,0
"125","BBC-F0-100","Gson-14","com.google.gson.internal.$Gson$Types",0,0
"126","BBC-F0-100","Gson-15","com.google.gson.stream.JsonWriter",0,0
"127","BBC-F0-100","Gson-16","com.google.gson.internal.$Gson$Types",0,0
"128","BBC-F0-100","Gson-17","com.google.gson.DefaultDateTypeAdapter",0,29
"129","BBC-F0-100","Gson-18","com.google.gson.internal.$Gson$Types",0,0
"130","BBC-F0-100","Gson-9","com.google.gson.internal.bind.JsonTreeWriter",0,0
"131","BBC-F0-100","Gson-9","com.google.gson.internal.bind.TypeAdapters",0,18
"132","BBC-F0-100","Gson-9","com.google.gson.stream.JsonWriter",0,29
"133","BBC-F0-100","JacksonCore-17","com.fasterxml.jackson.core.json.UTF8JsonGenerator",0,0
"134","BBC-F0-100","JacksonCore-19","com.fasterxml.jackson.core.json.ReaderBasedJsonParser",0,0
"135","BBC-F0-100","JacksonCore-19","com.fasterxml.jackson.core.json.UTF8StreamJsonParser",0,0
"136","BBC-F0-100","JacksonCore-20","com.fasterxml.jackson.core.JsonGenerator",0,29
"137","BBC-F0-100","JacksonCore-21","com.fasterxml.jackson.core.filter.FilteringParserDelegate",0,0
"138","BBC-F0-100","JacksonCore-22","com.fasterxml.jackson.core.filter.FilteringParserDelegate",0,0
"139","BBC-F0-100","JacksonCore-24","com.fasterxml.jackson.core.base.ParserBase",0,0
"140","BBC-F0-100","JacksonCore-24","com.fasterxml.jackson.core.base.ParserMinimalBase",0,0
"141","BBC-F0-100","JacksonCore-25","com.fasterxml.jackson.core.json.ReaderBasedJsonParser",0,0
"142","BBC-F0-100","JacksonDatabind-104","com.fasterxml.jackson.databind.util.StdDateFormat",0,0
"143","BBC-F0-100","JacksonDatabind-105","com.fasterxml.jackson.databind.deser.std.JdkDeserializers",0,0
"144","BBC-F0-100","JacksonDatabind-107","com.fasterxml.jackson.databind.jsontype.impl.TypeDeserializerBase",0,0
"145","BBC-F0-100","JacksonDatabind-109","com.fasterxml.jackson.databind.ser.std.NumberSerializer",0,0
"146","BBC-F0-100","JacksonDatabind-109","com.fasterxml.jackson.databind.ser.std.NumberSerializers",0,0
"147","BBC-F0-100","JacksonDatabind-110","com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers",0,0
"148","BBC-F0-100","JacksonDatabind-112","com.fasterxml.jackson.databind.deser.std.StringCollectionDeserializer",0,0
"149","BBC-F0-100","JacksonXml-3","com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser",0,0
"150","BBC-F0-100","JacksonXml-4","com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider",0,0
"151","BBC-F0-100","JacksonXml-6","com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator",0,0
"152","BBC-F0-100","Jsoup-84","org.jsoup.helper.W3CDom",0,11
"153","BBC-F0-100","Jsoup-86","org.jsoup.nodes.Comment",0,0
"154","BBC-F0-100","Jsoup-89","org.jsoup.nodes.Attribute",0,30
"155","BBC-F0-100","Jsoup-90","org.jsoup.helper.HttpConnection",0,0
"156","BBC-F0-100","JxPath-13","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"157","BBC-F0-100","JxPath-13","org.apache.commons.jxpath.ri.NamespaceResolver",0,0
"158","BBC-F0-100","JxPath-16","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"159","BBC-F0-100","JxPath-16","org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer",0,0
"160","BBC-F0-100","JxPath-22","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"161","BBC-F0-100","Lang-1","org.apache.commons.lang3.math.NumberUtils",0,0
"162","BBC-F0-100","Lang-5","org.apache.commons.lang3.LocaleUtils",0,0
"163","BBC-F0-100","Lang-6","org.apache.commons.lang3.text.translate.CharSequenceTranslator",0,0
"164","BBC-F0-100","Math-1","org.apache.commons.math3.fraction.BigFraction",0,29
"165","BBC-F0-100","Math-1","org.apache.commons.math3.fraction.Fraction",0,30
"166","BBC-F0-100","Math-3","org.apache.commons.math3.util.MathArrays",0,15
"167","BBC-F0-100","Math-4","org.apache.commons.math3.geometry.euclidean.threed.SubLine",0,21
"168","BBC-F0-100","Math-4","org.apache.commons.math3.geometry.euclidean.twod.SubLine",0,26
"169","BBC-F0-100","Math-8","org.apache.commons.math3.distribution.DiscreteDistribution",0,12
"170","BBC-F0-100","Mockito-1","org.mockito.internal.invocation.InvocationMatcher",0,0
"171","BBC-F0-100","Mockito-18","org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues",0,30
"172","BBC-F0-100","Mockito-20","org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker",0,0
"173","BBC-F0-100","Mockito-3","org.mockito.internal.invocation.InvocationMatcher",0,0
"174","BBC-F0-100","Mockito-4","org.mockito.exceptions.Reporter",0,0
"175","BBC-F0-100","Mockito-6","org.mockito.Matchers",0,0
"176","BBC-F0-100","Mockito-7","org.mockito.internal.util.reflection.GenericMetadataSupport",0,0
"177","BBC-F0-100","Time-10","org.joda.time.base.BaseSingleFieldPeriod",0,0
"178","BBC-F0-100","Time-2","org.joda.time.field.UnsupportedDurationField",0,0
"179","BBC-F0-100","Time-2","org.joda.time.Partial",0,0
"180","BBC-F0-100","Time-3","org.joda.time.MutableDateTime",0,0
"181","BBC-F0-100","Time-5","org.joda.time.Period",0,30
"182","BBC-F0-100","Time-6","org.joda.time.chrono.GJChronology",0,17
"183","BBC-F0-100","Time-7","org.joda.time.format.DateTimeFormatter",0,1
"184","BBC-F0-100","Time-8","org.joda.time.DateTimeZone",0,0
"185","BBC-F0-20","Chart-10","org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator",0,0
"186","BBC-F0-20","Chart-2","org.jfree.data.general.DatasetUtilities",0,30
"187","BBC-F0-20","Chart-4","org.jfree.chart.plot.XYPlot",0,12
"188","BBC-F0-20","Chart-5","org.jfree.data.xy.XYSeries",0,0
"189","BBC-F0-20","Chart-9","org.jfree.data.time.TimeSeries",0,0
"190","BBC-F0-20","Cli-31","org.apache.commons.cli.HelpFormatter",0,0
"191","BBC-F0-20","Cli-31","org.apache.commons.cli.Option",0,0
"192","BBC-F0-20","Cli-31","org.apache.commons.cli.OptionBuilder",0,0
"193","BBC-F0-20","Cli-32","org.apache.commons.cli.HelpFormatter",0,24
"194","BBC-F0-20","Cli-33","org.apache.commons.cli.HelpFormatter",0,0
"195","BBC-F0-20","Cli-35","org.apache.commons.cli.Options",0,0
"196","BBC-F0-20","Closure-108","com.google.javascript.jscomp.ScopedAliases",0,0
"197","BBC-F0-20","Codec-10","org.apache.commons.codec.language.Caverphone",0,0
"198","BBC-F0-20","Codec-11","org.apache.commons.codec.net.QuotedPrintableCodec",0,30
"199","BBC-F0-20","Codec-13","org.apache.commons.codec.binary.StringUtils",0,0
"200","BBC-F0-20","Codec-13","org.apache.commons.codec.language.DoubleMetaphone",0,26
"201","BBC-F0-20","Codec-16","org.apache.commons.codec.binary.Base32",0,0
"202","BBC-F0-20","Codec-17","org.apache.commons.codec.binary.StringUtils",0,30
"203","BBC-F0-20","Codec-18","org.apache.commons.codec.binary.StringUtils",0,0
"204","BBC-F0-20","Codec-9","org.apache.commons.codec.binary.Base64",0,0
"205","BBC-F0-20","Collections-25","org.apache.commons.collections4.IteratorUtils",0,0
"206","BBC-F0-20","Collections-28","org.apache.commons.collections4.trie.AbstractPatriciaTrie",0,0
"207","BBC-F0-20","Compress-38","org.apache.commons.compress.archivers.tar.TarArchiveEntry",0,0
"208","BBC-F0-20","Compress-45","org.apache.commons.compress.archivers.tar.TarUtils",0,0
"209","BBC-F0-20","Csv-11","org.apache.commons.csv.CSVParser",0,30
"210","BBC-F0-20","Csv-12","org.apache.commons.csv.CSVFormat",0,0
"211","BBC-F0-20","Csv-8","org.apache.commons.csv.CSVFormat",0,0
"212","BBC-F0-20","Csv-9","org.apache.commons.csv.CSVRecord",0,27
"213","BBC-F0-20","Gson-10","com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",0,0
"214","BBC-F0-20","Gson-11","com.google.gson.internal.bind.TypeAdapters",0,0
"215","BBC-F0-20","Gson-12","com.google.gson.internal.bind.JsonTreeReader",0,30
"216","BBC-F0-20","Gson-13","com.google.gson.stream.JsonReader",0,0
"217","BBC-F0-20","Gson-14","com.google.gson.internal.$Gson$Types",0,0
"218","BBC-F0-20","Gson-15","com.google.gson.stream.JsonWriter",0,0
"219","BBC-F0-20","Gson-16","com.google.gson.internal.$Gson$Types",0,0
"220","BBC-F0-20","Gson-17","com.google.gson.DefaultDateTypeAdapter",0,30
"221","BBC-F0-20","Gson-18","com.google.gson.internal.$Gson$Types",0,0
"222","BBC-F0-20","Gson-9","com.google.gson.internal.bind.JsonTreeWriter",0,0
"223","BBC-F0-20","Gson-9","com.google.gson.internal.bind.TypeAdapters",0,18
"224","BBC-F0-20","Gson-9","com.google.gson.stream.JsonWriter",0,30
"225","BBC-F0-20","JacksonCore-17","com.fasterxml.jackson.core.json.UTF8JsonGenerator",0,0
"226","BBC-F0-20","JacksonCore-19","com.fasterxml.jackson.core.json.ReaderBasedJsonParser",0,0
"227","BBC-F0-20","JacksonCore-19","com.fasterxml.jackson.core.json.UTF8StreamJsonParser",0,0
"228","BBC-F0-20","JacksonCore-20","com.fasterxml.jackson.core.JsonGenerator",0,29
"229","BBC-F0-20","JacksonCore-21","com.fasterxml.jackson.core.filter.FilteringParserDelegate",0,0
"230","BBC-F0-20","JacksonCore-22","com.fasterxml.jackson.core.filter.FilteringParserDelegate",0,0
"231","BBC-F0-20","JacksonCore-24","com.fasterxml.jackson.core.base.ParserBase",0,0
"232","BBC-F0-20","JacksonCore-24","com.fasterxml.jackson.core.base.ParserMinimalBase",0,0
"233","BBC-F0-20","JacksonCore-25","com.fasterxml.jackson.core.json.ReaderBasedJsonParser",0,0
"234","BBC-F0-20","JacksonDatabind-104","com.fasterxml.jackson.databind.util.StdDateFormat",0,0
"235","BBC-F0-20","JacksonDatabind-105","com.fasterxml.jackson.databind.deser.std.JdkDeserializers",0,0
"236","BBC-F0-20","JacksonDatabind-107","com.fasterxml.jackson.databind.jsontype.impl.TypeDeserializerBase",0,0
"237","BBC-F0-20","JacksonDatabind-109","com.fasterxml.jackson.databind.ser.std.NumberSerializer",0,0
"238","BBC-F0-20","JacksonDatabind-109","com.fasterxml.jackson.databind.ser.std.NumberSerializers",0,0
"239","BBC-F0-20","JacksonDatabind-110","com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers",0,0
"240","BBC-F0-20","JacksonDatabind-112","com.fasterxml.jackson.databind.deser.std.StringCollectionDeserializer",0,0
"241","BBC-F0-20","JacksonXml-3","com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser",0,0
"242","BBC-F0-20","JacksonXml-4","com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider",0,0
"243","BBC-F0-20","JacksonXml-6","com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator",0,0
"244","BBC-F0-20","Jsoup-84","org.jsoup.helper.W3CDom",0,10
"245","BBC-F0-20","Jsoup-86","org.jsoup.nodes.Comment",0,0
"246","BBC-F0-20","Jsoup-89","org.jsoup.nodes.Attribute",0,30
"247","BBC-F0-20","Jsoup-90","org.jsoup.helper.HttpConnection",0,0
"248","BBC-F0-20","JxPath-13","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"249","BBC-F0-20","JxPath-13","org.apache.commons.jxpath.ri.NamespaceResolver",0,0
"250","BBC-F0-20","JxPath-16","org.apache.commons.jxpath.ri.model.dom.DOMNodePointer",0,0
"251","BBC-F0-20","JxPath-16","org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer",0,0
